,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,Ghi chú
A,Core Business – Nghiệp vụ lõi,,,,
I,Innovation Portal & Workflow – Quản lý sáng kiến,,,,
I.1,Quản lý ý tưởng,,,,
I.1.1,"Khởi tạo ý tưởng theo 2 cách:
 - Cho phép người dùng khởi tạo một ý tưởng cá nhân mới trên hệ thống theo mẫu biểu được cấu hình sẵn.
 - Import ý tưởng hàng loạt qua file Excel, CSV, API, hoặc tích hợp hệ thống khác.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa đủ
I.1.2,"Nhập thông tin ý tưởng: Cho phép người dùng nhập thông tin chi tiết của ý tưởng, bao gồm nhưng không giới hạn: Tiêu đề ý tưởng; Mô tả vấn đề/thực trạng cần cải tiến; Nội dung ý tưởng (ý tưởng ban đầu, định hướng giải quyết); Lợi ích dự kiến (nâng cao hiệu quả khai thác, chất lượng dịch vụ, an toàn, tiết kiệm chi
 phí, chuyển đổi số, v.v.)",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Đã có nhưng cần phải sửa tên các trường thông tin
I.1.3,"Cấu hình trường thông tin ý tưởng: Hệ thống cho phép cấu hình các trường thông tin bắt buộc/không bắt buộc đối với ý tưởng,
 phù hợp với mục tiêu thu thập ý tưởng ở giai đoạn ban đầu.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
I.1.4,"Lưu nháp ý tưởng: Cho phép người dùng lưu ý tưởng ở trạng thái nháp để tiếp tục chỉnh sửa, hoàn thiện trước khi nộp chính
 thức.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
I.1.5,"Đính kèm tài liệu ý tưởng: Cho phép người dùng tải lên các tệp tin đính kèm liên quan đến ý tưởng (hình ảnh minh họa, tài liệu
 mô tả, file trình bày…), hỗ trợ nhiều định dạng theo cấu hình hệ thống.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Đã có
I.1.6,"Chọn cán bộ quản lý tiếp nhận: Cho phép người dùng lựa chọn
 cán bộ quản lý trực tiếp hoặc người tiếp nhận ý tưởng từ danh",Đáp ứng,Không đáp ứng,"Văn bản cam kết và
 Demo chứng minh",Chưa có
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
